Topic,Count,Name,Representation,Aspect1,Representative_Docs
0,2,0_Mathematical Problem Solving,['Mathematical Problem Solving'],"['integrand', 'integrals', 'ey zero', 'zero', 'ey', 'solve', 'equals', '90 degrees', 'expression', 'ex']","[""So maybe one way of solving this problem is to search for u and v that makes that zero, or if you can't make it zero, make it as small as possible. And so that motivates this approach. Okay, so what's going on here? Well, the integrand is just this expression."", ""EY is not zero. And we know that there's a problem. If I move in this direction, the image doesn't change. So can't solve. OK, so EX equals zero is a problem. Similarly, EY equals zero is a problem. Just turned 90 degrees. So those are kind of obvious. I mean, we know those aren't going to work. Is there anything else? Well, how about EX equals EY? Well, if that's the case, then these two integrals are the same.""]"
1,1,1_Perspective Projection Motion,['Perspective Projection Motion'],"['motion brightness', 'brightness patterns', 'image motion', 'perspective projection', 'brightness', 'perspective', 'projection', 'patterns image', 'optical', '3d']","[""We'll start off by talking a little bit about review of things we've done last time, perspective projection, and a little bit about things that are relevant to the homework problem, particularly the last two questions. And we'll go from perspective projection to motion. So in perspective projection, we have a relationship between points in the environment and points in the image, and we found that we had this simple relationship between the 3D world and the 2D world, as long as we pick a suitable coordinate system with the origin at the center of projection and the z-axis along the optical axis, and so on. But then we're going to go from that to motion by differentiating that equation, and then we'll talk about motion of brightness patterns in the image itself. OK, so we had that, and then we had a vector version, which is only slightly more compact, so it's not, in this case, a great help. But we'll use both of them. We'll switch back and forth and use whatever is suitable for the problem that we're dealing with. So let's start with motion. So that's a static setup, and we can easily relate points in the environment to points in the image. Now, what if there's motion?""]"
2,1,2_Motion in Images,['Motion in Images'],"['image motion', 'motion image', 'differentiation', 'motion brightness', 'motion', 'differentiate', 'velocity', 'velocities', 'motion vector', 'motion focus']","[""What if that point in the environment moves? Obviously, there will be some motion in the image, and if we can find out what that relationship is, then maybe in some circumstances, we can invert that so that we can measure the motion of brightness patterns in the image, as you do in the homework problem, and somehow use that to figure out what's happening out in the world. So we just differentiate. We take our perspective equation, and we differentiate, so we get... Now, on the right-hand side, we have a ratio, and so there are two parts to the derivative, and we just apply the rule for differentiation of a ratio. And what I'm going to do a lot is reduce the intimidation level of the equation by substituting more easily digested symbols. So in this case, we've got all these derivatives. Well, what are they? They're really velocities, so there's going to be a velocity in the image in the x direction, which I'll call u, and there's a velocity in the real world in the x direction, which I'll call big U, and then we have a velocity in the real world in the z direction, which I'll call w. So that looks a little bit less scary, and of course, I can do the same in the y direction, so apply the same idea over here. So that's the forward direction. That is, if you tell me what the motion vector is in 3D, here's the formula to tell me what the motion vector is in 2D, and of course, we might want to invert that, but for the moment, let's go with that. Now, we can rewrite this in various forms, and since we'll use this a lot, let's do that. So one thing we can do is we can split up these terms into 1 over z, x over z, and why is that useful? Well, because we know that x over z is little x over f, so we can rewrite this using image coordinates, and we end up with f. And one thing this allows us to do is to ask the question, where in the image is there no motion? So if we're looking at the movement of brightness patterns in the image, there may be some places where there isn't any, and those are of particular interest. First of all, of course, we can find them using image processing techniques, and then because they tell us something about the environment or the motion. So you can see if we set this equal to zero, we find that's true at a point x naught, such that x naught over f is big U over big W, and similarly for this one equal to zero, and so the point x naught, y naught is that sought after point where there is no image motion, and we call it the focus of expansion. And in the case of a simple situation like I'm approaching the wall, the focus of expansion is the point towards which I'm heading. And so we can just express it directly in terms of the 3D motion vector, and you'll notice that this is actually just a projection of the 3D motion vector into the image plane. So I take that same diagram over there, and now instead of mapping the vector to the point p, I'm mapping the velocity. And if I do that, then that defines this point x naught, y naught in the image where there is no motion, and that's called the focus of expansion.""]"
3,1,3_Optical Flow Analysis,['Optical Flow Analysis'],"['recover motion', 'flow', 'unknowns', 'motion', 'constraint equation', 'frames', 'optical', 'vector field', 'solutions', 'constraint']","[""Over here, we have one constraint, that equation. We have one unknown, u, a perfect match. So we know that we are likely to get a finite number of solutions. And because it's linear, we get one solution. But when you look at this, you'll see there's one equation, one constraint. But we've got two unknowns, right? We've got u and v. So if we're trying to recover the optical flow, which is that vector field that we're discussing, it's like we don't have enough information here to do that, which is dramatically different from the 1D case where we had the match between the number of equations and the number of unknowns. OK, so what do we know? So are we lost at sea? Is it hopeless? So let's look at just what that constraint provides us. So again, the overall objective here is we have a time-varying image, or in the discrete case, a sequence of image frames. And we're trying to recover the motion. And we find that, assuming that things don't change in brightness, the images don't change as they move, we end up with that constraint equation. And what does it tell us? Well, one way to think about it is to plot it in velocity space. So we're used to plotting images with x and y as coordinate axes. But actually, for some purposes, it's useful to have a different kind of representation. And this is one. And what it means is that any point in here is a particular velocity, that velocity.""]"
4,1,4_Velocity Space Visualization,['Velocity Space Visualization'],"['velocity space', 'space', 'velocity', 'space used', 'velocity velocity', 'plot velocity', '2d world', 'constraint', 'focus', 'linear']","[""And for example, this is zero velocity. It's not going anywhere. Velocity space was used at one time in physics much more than it is now. And it's actually kind of neat. For example, if you look at planetary orbits, they're ellipses with the sun at one focus. And ellipses are sort of complicated. If you plot them in velocity space, they're circles, which was exploited in the early days before people could just feed equations into a computer and have them solved, where they had to reason about things geometrically. Anyway, velocity space is sort of neat. And here, we have a constraint in velocity space. So this is saying that, OK, before we opened our eyes and looked at the image, we didn't know anything. The velocity could be anywhere in this plane. But now we have one constraint on it. So what does that tell us that must somehow limit the solution space? And yes, it's a linear equation in u and v. And so a linear equation in a 2D world corresponds to what? Line, yes, y equals mx plus c, for example. So it's got to be a line. And that's great, because it means that, OK, we haven't solved the problem, but we've come a long way. So before, it could be anywhere. Now it's going to be on a line. And what we really like is to pin it down to a point. So we've come part way. And so what line is it? Well, we can rewrite that equation like that and rewrite it a bit more by normalizing this vector. So I'm turning this vector into a unit vector. So first of all, again, a reminder that this is the brightness gradient.""]"
5,1,5_Brightness Gradient Analysis,['Brightness Gradient Analysis'],"['brightness gradient', 'gradient important', 'brightness derivatives', 'gradient', 'brightness constant', 'brightness', 'unit vector', 'change brightness', 'vector', 'perpendicular']","[""And the brightness gradient is very important for all sorts of things. If it's 0, nothing much is happening, because the brightness is constant. And more likely, it has a high value at a transition. Now if I'm looking at transition between the wall and the blackboard, there's a big change in brightness and therefore the derivatives will be large and therefore the brightness gradient will be large. And not only that, but the brightness gradient as a vector will be pointing perpendicular to the transition, right, because EX is very large here, EY is zero. So this brightness gradient is very important. And this is a unit vector as you can easily tell by taking the sum of squares of the two components. And why am I doing this? Well, because I'm interested in the component of U and V in this direction, the direction specified by the unit vector, and it's this constant.""]"
6,1,6_Optical Flow Analysis,['Optical Flow Analysis'],"['direction brightness', 'coordinate', 'brightness gradient', 'perpendicular', 'gradient', 'constraints', 'distance', 'aperture', 'direction', 'constraint']","[""And so what this is saying is that, you know, U and V are perpendicular to some line. And this is what it looks like. You can check that. I mean, basically, you need to find this point and then calculate the distance from the origin and it's going to be that. So not too interested right now in the details of that other than that we've shown that it's a line and that the line depends on the brightness gradient. So it tells us a lot of things already. One of them is that when you make this localized measurement and you are under constraint, you don't have enough equations, you do know something. You know, for example, in this diagram, I don't know what U and V is. But suppose that I give you a different coordinate system. OK. Locally you're going to see linear patterns. You won't see that. If I keep on magnifying this, you know, it's going to be more and more like a linear relationship. And so the argument is that if you look through an aperture, you cannot determine the motion. You can determine the motion in the direction of the brightness gradient. So that's what we did over here. OK. So in the 1D case that we were done here, in the 2D case we're not done because we have a mismatch of constraints and unknowns. And so we need more constraints. We need to know something else. And sometimes, you know, there's prior knowledge of the environment that helps you. Sometimes you can look again at another time and get extra information. Now let's suppose that we have the optical mouse problem where the whole image is moving as one. You know, you're over a flat surface at a constant distance from the lens. And to a very high degree of approximation, the image is just moving as one. So we don't just have one pixel. We can do the same thing at two pixels. OK. That's at pixel one.""]"
7,1,7_Solving Linear Equations,['Solving Linear Equations'],"['pixels', 'constraints', 'matrix', 'pixel', 'constraint', 'linear', 'unknowns', 'linear equation', 'determinant matrix', 'noisy']","[""And that's at pixel two. And our job is to recover u and v. Well, it's two linear equations. We can write them that way. And then solve. Because we've got two constraints now, we have enough constraint to solve for the two unknowns. And, you know, it's just a linear equation, so it's very simple. We can actually write the answer out explicitly. So it's very mechanical. I mean, we just invert this two by two matrix and, you know, multiply the result by that vector and we're done. And what is this? Well, this is the determinant of that matrix. So you know, for two by two and three by three, we can explicitly write it down. Otherwise, we'll just use Gaussian elimination to solve the set of linear equations. OK. So in a way, we're done. We need two pixels. We can solve this. And now, you know, it's noisy. So we can improve the result by taking more than two pixels. But before we do that, it's always important to check the edge conditions like, you know, this can fail. And it fails when the determinant is zero, right? So when does that happen? Well, can that happen? Well, sure. Let's rewrite it one more time. OK. So we have this nice linear method that if we make these measurements at two pixels, we can solve for the motion. But it won't work if this is the case. So what is that? Well, this tells you something about the brightness gradient, right?""]"
8,1,8_Image Motion Analysis,['Image Motion Analysis'],"['brightness gradients', 'brightness gradient', 'direction brightness', 'brightness', 'gradient', 'motion brightness', 'gradients', 'parallel lines', 'constraint equation', 'tangent']","[""This is the direction of the brightness gradient. Well, the tangent of it, right? So what this is saying is that you have a problem if they're related. So this is where the they don't have to be the same. I mean, obviously, if the brightness gradients are the same, you subtract those two quantities, you get zero, and things blow up. But they don't have to be the same. They just need to be proportional to each other, right? We're just saying that the ratio of Ey to Ex is the same. And that makes sense, again, because that means that the brightness gradient is the same in the two places. That means that the constraint we get out of the equation is in the same direction. It's not providing new information. Or go back to this diagram. We now have two parallel lines. Well, if there's no measurement noise, they'll be on top of each other. And then you intersect them, and what do you get? Well, the same line. So that's not very interesting. Or if you have noise, it'll be even worse because they won't even intersect. So this tells you a number of things. One of them is, okay, this isn't gonna work if the brightness gradient is the same everywhere. And that makes perfect sense. That's the aperture problem. It also tells you that maybe you need to somehow weight contributions from different image regions based on this. Maybe you don't want to have contributions from a lot of image regions with the same brightness gradient because they're not really providing good constraint. They're all sort of doing the same thing. So that tells you that rather than take this result for two pixels and then apply it to other pairs of pixels and just take the average, you'll want to weight it in some way. Okay, and that's kind of kludgy. I mean, that's sort of trying to fix a problem in a simple way. But we can do this much better. So we have this equation that's supposedly true everywhere in the image. All right, this is our magic equation, which relates image motion to brightness gradients. And that's supposed to be zero. Now, if there's measurement noise, it won't be zero. Hopefully, it'll be small. If you plug in the wrong values of u and v, it won't be zero.""]"
9,1,9_Image Processing Errors,['Image Processing Errors'],"['integrand', 'image', 'zero hope', 'fail', 'hope lost', 'wrong values', 'lost', 'zero', 'values', 'perfect']","[""And if everything was perfect and you had the correct values of U and V, the integrand would be zero. And you integrate it over the whole image, you get zero. And that's the smallest you can get because it's quadratic, it can't get less than zero. So that's it. If you plug in the wrong values of U and V, well, it will not be zero. And so you can base a strategy for finding U and V on that. Now, there are cases where this is going to fail. One is if, I don't know, you're without a light in a coal mine, if E is zero, all hope is lost, obviously.""]"
